Price,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,
Date,,,,,,,,
2023-05-25,26476.20703125,26591.51953125,25890.59375,26329.4609375,13851122697,28262.3587109375,24915.778219288793,43.25287609263384
2023-05-26,26719.291015625,26916.669921875,26343.94921875,26474.181640625,12711619225,28235.86171875,24928.131046660958,48.910991053239776
2023-05-27,26868.353515625,26888.8828125,26621.140625,26720.181640625,7892015141,28214.7116015625,24941.329838966838,51.03713734804924
2023-05-28,28085.646484375,28193.44921875,26802.751953125,26871.158203125,14545229578,28217.4686328125,24962.57522170608,61.249454042973476
2023-05-29,27745.884765625,28432.0390625,27563.876953125,28075.591796875,15181308984,28205.7253125,24981.25515153104,55.307589616662625
2023-05-30,27702.349609375,28044.759765625,27588.501953125,27745.123046875,13251081851,28166.7126953125,24999.39578125,56.52797792379818
2023-05-31,27219.658203125,27831.677734375,26866.453125,27700.529296875,15656371534,28106.4046875,25014.09950589818,48.28384431446951
2023-06-01,26819.97265625,27346.10546875,26671.720703125,27218.412109375,14678970415,28040.0230859375,25025.98025030839,49.878906918947465
2023-06-02,27249.58984375,27303.861328125,26574.64453125,26824.556640625,14837415000,27977.0335546875,25040.513646343956,53.313526542563956
2023-06-03,27075.12890625,27317.052734375,26958.00390625,27252.32421875,8385597470,27908.8221484375,25053.72543374594,49.491924585733216
2023-06-04,27119.06640625,27407.01953125,26968.224609375,27075.123046875,9360912318,27844.8335546875,25067.05021421371,53.63254960875932
2023-06-05,25760.09765625,27129.982421875,25445.16796875,27123.109375,21513292646,27753.7283984375,25071.492826021633,41.324480851507886
2023-06-06,27238.783203125,27313.8203125,25434.8671875,25732.109375,21929670693,27709.6031640625,25085.297223328027,50.08830311918055
2023-06-07,26345.998046875,27332.181640625,26146.98828125,27235.650390625,19530045082,27628.5720703125,25093.2763424644,50.07558994225901
2023-06-08,26508.216796875,26797.513671875,26246.6640625,26347.654296875,11904824295,27582.2828125,25102.17533903302,50.215821767486645
2023-06-09,26480.375,26770.2890625,26339.314453125,26505.923828125,11015551640,27546.970546875,25110.78908691406,48.340986562703186
2023-06-10,25851.240234375,26531.044921875,25501.8359375,26481.76171875,19872933189,27518.4571484375,25115.388162364132,43.37870084903252
2023-06-11,25940.16796875,26203.439453125,25668.986328125,25854.03125,10732609603,27480.9105078125,25120.479395736882,33.627930282795774
